City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.16,98,100,7.58,TF,1685303729
1,olonkinbyen,70.9221,-8.7187,0.86,98,100,2.15,SJ,1685303729
2,grytviken,-54.2811,-36.5092,-0.5,89,73,5.84,GS,1685303729
3,pico truncado,-46.7949,-67.9573,8.55,39,70,4.1,AR,1685303730
4,bethel,41.3712,-73.414,30.1,39,0,2.57,US,1685303731
5,sochi,43.6,39.7303,18.05,76,99,1.54,RU,1685303731
6,hawaiian paradise park,19.5933,-154.9731,25.73,76,40,3.09,US,1685303732
7,daru,-9.0763,143.2092,24.9,82,99,3.61,PG,1685303732
8,sao jose da coroa grande,-8.8978,-35.1478,25.74,82,82,3.67,BR,1685303732
9,iskateley,67.6803,53.1512,7.72,51,12,5.39,RU,1685303733
10,touros,-5.1989,-35.4608,26.87,78,100,5.28,BR,1685303734
11,edinburgh of the seven seas,-37.0676,-12.3116,16.12,75,91,10.71,SH,1685303734
12,whitehorse,60.7161,-135.0538,12.23,45,75,7.2,CA,1685303734
13,thompson,55.7435,-97.8558,17.09,94,100,2.06,CA,1685303735
14,jamestown,42.097,-79.2353,26.4,33,0,5.14,US,1685303735
15,bredasdorp,-34.5322,20.0403,13.68,89,34,5.59,ZA,1685303736
16,khilok,51.3674,110.4676,1.79,80,0,1.43,RU,1685303736
17,qaqortoq,60.7167,-46.0333,3.9,88,100,1.77,GL,1685303736
18,ushuaia,-54.8,-68.3,8.81,71,0,8.75,AR,1685303737
19,konosha,60.9736,40.257,8.15,63,46,2.95,RU,1685303737
20,key largo,25.0865,-80.4473,31.0,65,4,4.16,US,1685303577
21,st. john's,47.5649,-52.7093,14.04,63,100,1.34,CA,1685303738
22,west island,-12.1568,96.8225,26.99,78,100,3.09,CC,1685303738
23,kovalam,8.3667,76.9967,29.05,84,40,2.06,IN,1685303739
24,tangalle,6.024,80.7911,26.18,91,96,4.13,LK,1685303739
25,kerikeri,-35.2268,173.9474,17.73,95,22,0.45,NZ,1685303739
26,karungdong,5.8844,121.263,27.49,82,100,2.47,PH,1685303740
